Model,Split,RMSE,MAE,R2,R
GNN_Guided_Baseline_Simple,Test,5.353236472622102,3.0288126468658447,0.6337855506374901,0.8487620877411821
GNN,Test,5.353236472622102,3.0288126468658447,0.6337855506374901,0.8487620877411821
Baseline,Test,12.200126797376752,7.488245010375977,-0.9020911857310205,0.5809277737536319
GNN_Guided_Baseline_Simple,Val,0.7855191886495799,0.44287288188934326,0.9987248637422954,0.9993725054119771
GNN,Val,0.7855191886495799,0.44287288188934326,0.9987248637422954,0.9993725054119771
Baseline,Val,17.07448461600946,11.88736343383789,0.39752618423460195,0.6464276607052415
