Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.6224464747412373,0.6255265,0.900575728275287,0.9502876825578361,0.18797049
GNN,Test,3.3133989949567306,1.1546404,0.5853333084806962,0.7751563820155696,0.30853602
GC,Test,4.665326175714369,1.8675219,0.17791699391507954,0.47755323455522103,0.8383602
GC-GNN,Val,1.742035247581905,0.66050106,0.8699350761904145,0.9367736375887041,0.19262277
GNN,Val,3.2323100551844774,1.1330746,0.5522121367185567,0.7499980175534114,0.31360695
GC,Val,4.404454074938481,1.772982,0.1685608800873022,0.46061105622999393,0.79238546
