Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.1681834071658637,0.9850767,0.9602498067009951,0.9799235686254488,0.06828279
GNN,Test,5.890769410323704,2.4225807,0.7065789539112726,0.8427896617358251,0.1760587
GC,Test,9.24606775780567,4.1092296,0.2771280520172482,0.5542434168227576,0.28854766
GC-GNN,Val,2.0894500076290656,0.9551263,0.9622219337783762,0.9811117132674401,0.06706337
GNN,Val,5.9722458752698495,2.395506,0.6913607666920395,0.8349794744981084,0.17562854
GC,Val,9.121902567190272,4.0108943,0.2799766053053795,0.5576796355458077,0.28133184
