Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.4669878501391884,1.2533833,0.8505272795394836,0.9287000837591488,0.11772792
GNN,Test,5.206021256018384,2.4690287,0.3343594222119546,0.7938377637562734,0.22474524
GC,Test,5.628598905666412,3.2038527,0.22191229348313957,0.48079940051744635,0.26890713
GC-GNN,Val,2.5404625421926004,1.2075394,0.9572989200952943,0.9784382169087874,0.07736349
GNN,Val,6.246265363691519,2.5182962,0.7418606871049266,0.8645848825552104,0.18567659
GC,Val,10.36615606033814,4.5506983,0.2890340781029822,0.5619779844796938,0.3013688
