Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,5.660823090355565,3.2480152,0.6036682275584662,0.8311003975367105,0.25933024
GNN,Test,5.516023875394385,2.9700615,0.6236845982737409,0.7899387584819775,0.28295636
GC,Test,11.910841009136252,7.39554,-0.7546260346931308,0.5703484607794695,0.64397615
GC-GNN,Val,0.8865287341900696,0.49420464,0.9988733543068699,0.999450514005997,0.0322464
GNN,Val,15.39943236258544,8.744212,0.6600530629242423,0.81614115410311,0.48593733
GC,Val,19.590656529126008,13.316185,0.4498264601757942,0.6888767540356383,0.8844624
