Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.7514076098334135,1.1469747,0.5791920712975851,0.7877912389900398,0.37915495
GNN,Test,3.7668468977982945,1.5953652,0.21126696975430626,0.6512974984638464,0.43812576
GC,Test,3.909200179889456,1.5662973,0.15052647138323283,0.4654970077201564,0.5794147
GC-GNN,Val,1.062876410285869,0.45010513,0.9862568603355504,0.9933024667209255,0.06481792
GNN,Val,5.929644397282408,2.4832428,0.5722621235716085,0.7809592240277184,0.29865178
GC,Val,8.952737263909937,4.602289,0.024938226000155828,0.6102199069443538,2.2432563
