Model,Split,RMSE,MAE,R2,R
GNN_Guided_Baseline_Simple,Test,5.876279650988463,3.43394136428833,0.5587268474255972,0.8098023281548464
GNN,Test,6.577959724579012,3.6556003093719482,0.44705101640031053,0.7004953387973957
Baseline,Test,12.200126797376752,7.488245010375977,-0.9020911857310205,0.5809277737536319
GNN_Guided_Baseline_Simple,Val,0.7951508738148053,0.4433475732803345,0.9986934016449812,0.9993584444775527
GNN,Val,12.88466955232676,5.857664108276367,0.6569246103470178,0.8234295966570956
Baseline,Val,17.07448461600946,11.88736343383789,0.39752618423460195,0.6464276607052415
