Model,Split,RMSE,MAE,R2,R
GNN_Guided_Baseline_Simple,Test,5.559827012314353,3.167818784713745,0.6049744219749269,0.8438010559998147
GNN,Test,5.911142089271797,2.886248826980591,0.5534753972872222,0.7500256105641029
Baseline,Test,12.200126797376752,7.488245010375977,-0.9020911857310205,0.5809277737536319
GNN_Guided_Baseline_Simple,Val,0.8031332690930203,0.4424157440662384,0.99866703662469,0.9993592526626458
GNN,Val,12.97318906990701,5.975684642791748,0.6521944519396132,0.823357972453744
Baseline,Val,17.07448461600946,11.88736343383789,0.39752618423460195,0.6464276607052415
