Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.1111541027019376,0.9852471,0.9649032322254689,0.9825929393881087,0.06842805
GNN,Test,6.229613663403508,2.4484,0.6944027318880106,0.8404360914791714,0.17327437
GC,Test,9.624602470610677,4.100157,0.2705545683106484,0.5519035800736556,0.28477988
GC-GNN,Val,2.1336664858599805,0.99899787,0.9578868927119382,0.9787926454045932,0.06940938
GNN,Val,5.877258515972751,2.3683517,0.6804683996492611,0.8289172922250752,0.1713689
GC,Val,8.788667525847295,3.855811,0.28548677015741075,0.5604641732745257,0.2779661
