Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.820266985017246,0.6831976,0.8632123211822524,0.9296218068840848,0.18954416
GNN,Test,3.229156412087842,1.1726412,0.569518052790029,0.7608698385325532,0.31796715
GC,Test,4.486194839457292,1.8807817,0.16912996007506864,0.4592819767301627,0.8581361
GC-GNN,Val,1.7287121677189583,0.6468657,0.8785554290519995,0.937790299061377,0.18482423
GNN,Val,3.173545360000001,1.1259359,0.5907184471661493,0.7797857045138651,0.31673425
GC,Val,4.50731699846574,1.82424,0.1744014037690108,0.46727635411453505,0.80210644
