Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.16642978791616,0.967504,0.9548343070378879,0.9772327251881505,0.06730969
GNN,Test,5.858889628334191,2.3075123,0.6696684568431135,0.8206706934564597,0.16835412
GC,Test,8.645675866098648,3.8473523,0.28068796338026414,0.5540613023417967,0.2832769
GC-GNN,Val,2.1443436893233025,0.9933043,0.9604679888833536,0.9800987838969729,0.067919225
GNN,Val,6.084751155532645,2.4463487,0.6816933053077889,0.8301202583133943,0.18000476
GC,Val,9.170770685888101,4.020006,0.27694416066994465,0.5541780172951911,0.28285915
