Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.2012071061588825,0.6104699,0.8705745643725703,0.9359870138679235,0.23491393
GNN,Test,2.2507826185768467,1.0300621,0.5455868094745178,0.7764053608413142,0.32762232
GC,Test,3.0435408126729238,1.5109495,0.16911281696632152,0.5330831408682127,0.73946005
GC-GNN,Val,1.9808029705390473,0.7349917,0.8697479485520272,0.9331764348350126,0.1931916
GNN,Val,3.6033721812574613,1.2658659,0.5689572842869968,0.7672183487763653,0.32186854
GC,Val,5.077701116623619,1.9745178,0.14407379972258316,0.44495241547491227,0.8491262
