Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,6.18755425323437,3.6917396,0.662452721799881,0.8644149944547375,0.29745898
GNN,Test,9.518483701851984,4.427995,0.20121086623675588,0.7322933326128512,0.273391
GC,Test,14.28170301524384,8.750852,-0.7982771480613142,0.5532091529178752,0.7378794
GC-GNN,Val,0.32462038877603033,0.20725915,0.9991044888213159,0.9995592153817204,0.02250107
GNN,Val,6.262558184142134,3.4611115,0.6667094632538882,0.8284685004189045,0.23628953
GC,Val,8.22290027102284,6.2817464,0.4253949050143849,0.6688395694437419,0.69968545
