Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,3.927876656268049,1.7751548,0.12508896292712957,0.5859595896496423,0.4954623
GNN,Test,4.54831507579307,2.0869331,-0.1731385963947314,0.22725465508161322,0.614353
GC,Test,3.8903027749581613,1.5612938,0.14174758811980837,0.4670702141522851,0.57626724
GC-GNN,Val,1.5806508010803824,0.5930951,0.9805207694687621,0.9904584873517691,0.064376235
GNN,Val,6.678398712932351,3.4075227,0.6522680670807931,0.8100748179857877,0.3601606
GC,Val,11.592014563299264,6.4365387,-0.04765357511127344,0.595856878422637,2.7828035
