Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,3.7601214827533798,2.3091261,0.9370305303105871,0.9695146146570488,0.12934366
GNN,Test,13.106415297412262,7.5993323,0.23494232132779003,0.9066400205600553,0.35978886
GC,Test,14.674779959853476,7.225888,0.040887561934681016,0.37168469730628295,0.3222849
GC-GNN,Val,1.005937058495208,0.5383696,0.9661968332116604,0.9830610016417224,0.0531907
GNN,Val,2.7066961964592107,1.4008032,0.7552657699809815,0.8733797988679398,0.14115734
GC,Val,4.463468191223881,2.3023257,0.3344807682566826,0.5952106684342907,0.23042013
