Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.7555256527488017,0.7162807,0.8702103512877278,0.9331528843437504,0.21366087
GNN,Test,3.222484311227659,1.1170462,0.562672009941652,0.7623698256530289,0.28502604
GC,Test,4.432258841919373,1.8058382,0.17267555426868741,0.47106703012726114,0.8205907
GC-GNN,Val,1.5835285401056405,0.6470579,0.8952450317047762,0.9465346145631893,0.20146613
GNN,Val,3.257420504837672,1.1306413,0.5567277906036383,0.7562851143230133,0.29116622
GC,Val,4.476571873626749,1.7936864,0.16282940692250125,0.4575174296237221,0.8084031
