Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,9.151919020901392,5.0760937,-0.0867010594709492,0.7660933261615236,0.40445083
GNN,Test,9.98140933985116,7.7493744,-0.29261603383463997,0.6444536828938877,0.8762016
GC,Test,11.245392597650513,6.934507,-0.6407220812002561,0.5842533348217027,0.6091261
GC-GNN,Val,0.9707017127166852,0.61420184,0.9986225601607005,0.9993178366391315,0.038740676
GNN,Val,13.855498484602997,8.384759,0.7193627179819199,0.8488082031608052,0.31740534
GC,Val,21.073442192017716,16.217527,0.35080972673679867,0.6205478746489398,1.042044
