Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.6570603889230597,0.6439368,0.8700372925951028,0.9333312077144181,0.18548863
GNN,Test,2.9953631488814105,1.0513283,0.5753403653983598,0.7646924324920389,0.28065136
GC,Test,4.212564865201516,1.7675184,0.1600852041005515,0.4436869418803686,0.82848066
GC-GNN,Val,1.6750524398793685,0.64389515,0.8829079555874003,0.940044895490485,0.18665957
GNN,Val,3.2426328054508926,1.1057798,0.5612005274888143,0.7555895375933115,0.2835971
GC,Val,4.446780533903064,1.801213,0.17479473236897647,0.4717858224900311,0.8009902
