Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.1966701667113298,1.0063182,0.957651879004153,0.9791042730490319,0.06846744
GNN,Test,5.868373298945905,2.3871217,0.6977684031379959,0.8409739196002902,0.1729438
GC,Test,9.021399171158047,3.9821646,0.2857468052403066,0.563076252756457,0.27931538
GC-GNN,Val,1.9863577721407824,0.92356807,0.9648139892645218,0.982650215399172,0.0650315
GNN,Val,6.0061248670993725,2.400626,0.6783053496379285,0.8280429442906698,0.17502308
GC,Val,9.030318162621075,3.9644759,0.27278771019423365,0.5489443231373973,0.28508356
