Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,4.15264621612695,1.8843051,0.27459561367637364,0.6458256819593317,0.5231514
GNN,Test,4.594926748262632,1.8934914,0.11184750113913933,0.7301997200360926,0.45978913
GC,Test,4.4855036893495,1.7868901,0.15364451499567933,0.46042507337677246,0.6982248
GC-GNN,Val,0.5522817369151437,0.2510807,0.9861462334426861,0.9932317818864508,0.081540965
GNN,Val,2.975830949411868,1.3630267,0.5977806047619447,0.7943155622899561,0.29513255
GC,Val,4.491504915871935,2.535373,0.08371570580530541,0.638345183535059,1.5048306
