Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,5.353236472622101,3.0288126,0.6337855440702836,0.8487620859619933,0.23146598
GNN,Test,5.964256952247417,2.9888144,0.5454147866290077,0.7460071924445795,0.27952558
GC,Test,12.200126797376752,7.488245,-0.9020912132909722,0.5809277712398563,0.65203035
GC-GNN,Val,0.7855192265892281,0.44287297,0.9987248636725264,0.9993725053722055,0.032218546
GNN,Val,13.066452377534423,5.9746656,0.6471758020338878,0.8243985670376307,0.2616406
GC,Val,17.07448461600946,11.887363,0.3975261780500695,0.6464276533521771,0.8836737
