Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.1865919054158738,0.85992557,0.7941828805987048,0.928005254797167,0.14545693
GNN,Test,6.516124093313669,2.9306457,-5.206652117380165,0.5689047000884841,0.4703309
GC,Test,2.8081475382243624,2.4776502,-0.15270603141481054,0.6323704167525065,0.45314172
GC-GNN,Val,2.523038850361958,1.2604972,0.9509906783844779,0.9756329101051909,0.07515737
GNN,Val,5.7006271954182886,2.5825026,0.7498064713606534,0.8668389149221426,0.15217897
GC,Val,10.275434617552186,4.777924,0.18711107445283148,0.46197962752970106,0.28292787
