Model,RMSE,MAE,R2,R
GNN_Guided_Baseline_Simple,2.877058204653473,1.1455323696136475,0.54138339891539,0.7760576391863119
GNN,3.8169702056609403,1.5129753351211548,0.19278357148364966,0.6751012030494057
Baseline,3.9070827969676865,1.5691009759902954,0.15421946967290234,0.46571774791994447
