Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,3.0787582133435665,1.3237032,0.825306379463054,0.9169598213157617,0.28906482
GNN,Test,6.163878695572332,2.2634518,0.29978076962323064,0.8174354783229728,0.30969238
GC,Test,6.838242356974111,3.6467826,0.13818343836317903,0.37560501646549027,1.7515177
GC-GNN,Val,0.8242516533670454,0.35726863,0.9051418416029987,0.9519528840673049,0.12519357
GNN,Val,1.5155232975451818,0.68971944,0.6793138319040415,0.8253002438151094,0.24738397
GC,Val,2.2115015179919753,1.1149503,0.31714333132722494,0.5898271815729862,0.6535043
