Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,1.7117010355058448,0.65270454,0.8676089933653364,0.9327873706653012,0.19215496
GNN,Test,3.2078261697053327,1.100025,0.5350306563638967,0.736778051560219,0.2865088
GC,Test,4.296597558514642,1.7461486,0.16583492107224018,0.45998501267993214,0.83019793
GC-GNN,Val,1.6979394064786646,0.65429646,0.8826052786104666,0.9405072308419267,0.19195992
GNN,Val,3.206356744309239,1.1119136,0.5813724028725713,0.7733721103368784,0.293608
GC,Val,4.53764638953607,1.838845,0.1615726288875613,0.45575693754327257,0.811438
