Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,2.097372423004562,0.98533046,0.9566491951060607,0.9783625980467249,0.069667995
GNN,Test,5.279638100850488,2.247365,0.7253027255429878,0.8537950398062196,0.1687058
GC,Test,8.545223878591706,3.8388925,0.2803971189388328,0.5502896058431485,0.27864176
GC-GNN,Val,2.0710688522954728,0.9636564,0.9622192227149686,0.9809754364144125,0.067504175
GNN,Val,5.946045197541887,2.351823,0.6885859301694882,0.832615901656118,0.16994756
GC,Val,9.046491282071827,3.9394464,0.27915458502498824,0.5564377359400916,0.28209105
