Model,RMSE,MAE,R2,R
GNN_Guided_Baseline_Simple,4.119722400312871,1.8461681604385376,0.05965246523813583,0.5654018363381573
GNN,3.8375668299319994,1.5718250274658203,0.1840485047511028,0.5518850937451619
Baseline,3.916296407094051,1.5721220970153809,0.15022580148759912,0.46550348729070534
