Model,Split,RMSE,MAE,R2,R,MAP,RMSPE
GC-GNN,Test,3.4071732416023424,1.4984883069992065,0.3720753831281298,0.6910330782369377,0.4137772023677826,0.5171291828155518
GNN,Test,3.89949428018228,1.5261322259902954,0.17750041895798996,0.5355114165586126,0.3963751494884491,0.4995788633823395
GC,Test,3.966031803220967,1.6296098232269287,0.14919215204874525,0.4632484748365611,0.6211244463920593,1.308942198753357
GC-GNN,Val,1.6232042660929278,0.5871590375900269,0.9787422563994682,0.9894341560659572,0.07443170249462128,0.10859323292970657
GNN,Val,7.501424526986993,3.313873529434204,0.5459974155384281,0.7766726803799616,0.38591745495796204,1.2805918455123901
GC,Val,10.967699310321244,5.42031192779541,0.029485695081598484,0.6542078217954396,2.3435068130493164,4.528653144836426
