Model,Split,RMSE,MAE,R2,R,MAPE
GC-GNN,Test,0.6793494205870781,0.41296923,0.7774784543810666,0.8965176889545142,0.24259521
GNN,Test,5.335724274827861,1.6673146,-12.72689752968857,0.5465046394096038,0.86325896
GC,Test,1.238141313702454,0.7478413,0.2608611323951021,0.7251536145242323,0.46743673
GC-GNN,Val,1.9530614613688315,0.8003148,0.8667077269655842,0.932225970415341,0.19328775
GNN,Val,3.2575070171617297,1.220419,0.6291964858067767,0.7952426467904918,0.27064657
GC,Val,5.033778153694335,2.180294,0.11455564333561352,0.40737644881096446,0.9186103
